DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, back-end	India	C#	Firebase	Cordova			
Developer, full-stack	United States	JavaScript	MongoDB	Node.js			
Developer, back-end	France	Go	Elasticsearch	Ansible	Node.js		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	C#		.NET	.NET Core		
Developer, back-end	Brazil	Bash/Shell/PowerShell	PostgreSQL	Node.js	Other(s):		
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Node.js	
Developer, front-end	United Kingdom	HTML/CSS	MySQL	Node.js	React Native		
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js		
Developer, back-end	Australia	Bash/Shell/PowerShell	MariaDB	Node.js			
Database administrator	Germany	Bash/Shell/PowerShell	MySQL	Ansible			
Data or business analyst	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js	Unity 3D		
Developer, full-stack	Sweden	C#	MySQL	.NET	.NET Core	Node.js	
Designer	United States	Assembly		.NET	.NET Core		
Developer, front-end	India	HTML/CSS	Firebase	Cordova	Node.js	Unity 3D	
Database administrator	India	Bash/Shell/PowerShell	Cassandra	Pandas			
Database administrator	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	Brazil	C++	MariaDB	Apache Spark	Cordova	.NET	.NET Core
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js	Pandas		
Developer, full-stack	Spain	HTML/CSS	MariaDB	Node.js			
Designer	India	Bash/Shell/PowerShell	PostgreSQL	Apache Spark	Chef	Hadoop	
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET			
Developer, full-stack	China	Go	MySQL	Node.js			
Developer, back-end	Sweden	C#	Firebase	.NET	.NET Core	Unity 3D	Xamarin
Developer, full-stack	United States	HTML/CSS	Oracle	React Native			
Data or business analyst	Italy	C#	Couchbase	.NET	.NET Core		
Database administrator	Germany	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Designer	United States	Assembly	MariaDB	Node.js			
Developer, back-end	France	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	PostgreSQL	TensorFlow			
Data scientist or machine learning specialist	United States	C	Cassandra	Apache Spark	TensorFlow	Torch/PyTorch	
Developer, back-end	United Kingdom	C#	Microsoft SQL Server	.NET			
Database administrator	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	.NET Core		
Developer, back-end	Greece	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	United Kingdom	Bash/Shell/PowerShell	MySQL	.NET	.NET Core	Node.js	Unity 3D
Developer, full-stack	India	C#	MongoDB	Node.js			
Database administrator	Germany	C++	MariaDB	Node.js			
Developer, front-end	Greece	HTML/CSS	Firebase	Node.js	Pandas	React Native	TensorFlow
Developer, full-stack	Germany	Bash/Shell/PowerShell		Other(s):			
Developer, back-end	United States	C	DynamoDB	Flutter	Node.js	React Native	
Developer, back-end	United States	Java	MariaDB	Apache Spark	Pandas	TensorFlow	
Academic researcher	India	Bash/Shell/PowerShell	MySQL	Pandas	TensorFlow		
Database administrator	Canada	Bash/Shell/PowerShell	Other(s):	Apache Spark			
Developer, back-end	Netherlands	JavaScript	PostgreSQL	Node.js	React Native		
Data or business analyst	India	Bash/Shell/PowerShell	DynamoDB	Apache Spark	Hadoop	.NET	.NET Core
Designer	United States	Elixir	DynamoDB	Node.js			
Database administrator	Russian Federation	HTML/CSS	Elasticsearch	Ansible	Node.js		
Designer	United States	HTML/CSS	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	India	Go	DynamoDB	Apache Spark	Hadoop		
Academic researcher	United States	Java		Pandas	Torch/PyTorch		
Developer, back-end	Turkey	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	United States	C#	MongoDB	.NET	.NET Core		
Designer	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, full-stack	United States	Java	MySQL	Hadoop			
Developer, front-end	India	C	SQLite	Flutter	.NET	React Native	
Developer, back-end	Pakistan	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, back-end	Spain	Bash/Shell/PowerShell	Cassandra	.NET	.NET Core	Node.js	
Developer, back-end	Spain	Java	Cassandra	Apache Spark			
Designer	Germany	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Academic researcher	Italy	C	SQLite	Pandas	Other(s):		
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Chef	Node.js		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	Node.js	Pandas	TensorFlow	
Database administrator	Italy	C	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Developer, back-end	Italy	Go	Cassandra	Ansible	Chef	Hadoop	
Developer, back-end	United States	Bash/Shell/PowerShell	MongoDB	.NET			
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	MySQL	Pandas			
Designer	United States	HTML/CSS	SQLite	Node.js	Unity 3D		
Developer, full-stack	United States	HTML/CSS	MySQL	Node.js			
Developer, back-end	India	JavaScript	Cassandra	Apache Spark	Node.js		
Developer, back-end	India	C	DynamoDB	Apache Spark			
Developer, back-end	France	C	MongoDB	Cordova	.NET	Node.js	
Developer, back-end	Sweden	C	MongoDB	.NET	.NET Core	Node.js	React Native
Developer, back-end	Italy	C#	Elasticsearch	.NET	.NET Core	Node.js	Unity 3D
Academic researcher	Pakistan	C	Cassandra	TensorFlow	Torch/PyTorch		
Developer, full-stack	Spain	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	Unity 3D
Database administrator	United Kingdom	Bash/Shell/PowerShell	Couchbase	.NET	.NET Core	Node.js	
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	Unity 3D		
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	India	HTML/CSS	MySQL	Apache Spark			
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET			
Developer, back-end	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	Unity 3D			
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Data or business analyst	India	HTML/CSS	MySQL	Apache Spark			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	United States	Clojure	PostgreSQL	Chef	Pandas		
Developer, full-stack	Brazil	HTML/CSS	MongoDB	Node.js			
Developer, front-end	United Kingdom	Bash/Shell/PowerShell	Firebase	.NET Core	Node.js	React Native	
Data or business analyst	Germany	Assembly	MongoDB	Node.js			
Developer, full-stack	United States	Assembly	DynamoDB	Chef	Node.js	Puppet	TensorFlow
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	TensorFlow	
Academic researcher	United States	Bash/Shell/PowerShell		Pandas	TensorFlow		
Developer, front-end	Spain	HTML/CSS	MongoDB	Node.js			
Developer, front-end	Ukraine	HTML/CSS		Node.js			
Data scientist or machine learning specialist	India	C++		Pandas			
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Node.js	TensorFlow	
Developer, back-end	Germany	Rust	Oracle	Other(s):			
Academic researcher	Russian Federation	Bash/Shell/PowerShell	MariaDB	Ansible	Apache Spark	Node.js	Other(s):
Data or business analyst	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Germany	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	
Developer, full-stack	Australia	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core		
Data or business analyst	Netherlands	HTML/CSS	MySQL	Node.js			
Developer, full-stack	India	Bash/Shell/PowerShell	Firebase	.NET	Node.js		
Developer, full-stack	Brazil	Bash/Shell/PowerShell	Firebase	.NET Core	Node.js		
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Chef	Node.js		
Developer, back-end	Spain	Java	Redis	React Native			
Developer, front-end	India	Objective-C	Elasticsearch	Node.js			
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET	Xamarin		
Designer	United States	C++	MySQL	.NET	.NET Core	Node.js	
Developer, back-end	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Ansible	Hadoop	.NET	.NET Core
Developer, back-end	United States	Bash/Shell/PowerShell		.NET	Xamarin		
Database administrator	Poland	C#	Microsoft SQL Server	.NET	.NET Core		
Academic researcher	United States	Bash/Shell/PowerShell	MySQL	Chef			
Data scientist or machine learning specialist	India	HTML/CSS	MongoDB	Node.js	React Native		
Academic researcher	Canada	Assembly	MySQL	Pandas	TensorFlow	Torch/PyTorch	
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	Cassandra	.NET	Pandas	Unity 3D	
Designer	United States	C#	Oracle	.NET			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MariaDB	Ansible	Hadoop	Node.js	TensorFlow
Developer, back-end	Australia	Bash/Shell/PowerShell	Couchbase	.NET	.NET Core	Node.js	Xamarin
Developer, full-stack	United States	C#	MariaDB	.NET	.NET Core		
Developer, back-end	Russian Federation	Java	PostgreSQL	Other(s):			
Data or business analyst	Italy	HTML/CSS	Elasticsearch	Pandas	TensorFlow	Torch/PyTorch	
Developer, back-end	India	C#	Oracle	.NET	.NET Core	Node.js	
Developer, full-stack	United States	HTML/CSS	Firebase	Node.js			
Developer, front-end	United States	HTML/CSS	Firebase	Node.js			
Designer	India	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	Hadoop	Node.js	Pandas	
Developer, full-stack	United States	C++	PostgreSQL	Node.js			
Designer	Netherlands	Bash/Shell/PowerShell	MariaDB	.NET			
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	.NET			
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	.NET	Node.js	Other(s):	
Developer, front-end	United States	C#		.NET	.NET Core	Node.js	Puppet
DevOps specialist	Netherlands	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	TensorFlow	Unity 3D	
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Bash/Shell/PowerShell	PostgreSQL	Puppet			
Developer, full-stack	Australia	Assembly	Firebase	Ansible	Chef	Node.js	Unity 3D
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	PostgreSQL	Ansible			
Developer, back-end	Netherlands	C++	Microsoft SQL Server	.NET	Node.js		
Academic researcher	Italy	C#	Firebase	Cordova	.NET	.NET Core	Node.js
Developer, full-stack	Russian Federation	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	Cordova	Node.js	Pandas
Developer, front-end	Netherlands	C#	MySQL	.NET	.NET Core	Unity 3D	
Developer, back-end	United States	C#	Elasticsearch	.NET	.NET Core		
Data scientist or machine learning specialist	Sweden	Bash/Shell/PowerShell	MariaDB	Node.js	TensorFlow		
Data or business analyst	United States	HTML/CSS	Cassandra	Ansible	Node.js	Pandas	
Developer, full-stack	Poland	HTML/CSS	PostgreSQL	Node.js			
Developer, full-stack	Italy	Bash/Shell/PowerShell	MongoDB	.NET	Node.js		
Data scientist or machine learning specialist	United States	C++	Elasticsearch	.NET	.NET Core	Node.js	Pandas
Data or business analyst	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	Pandas
Developer, back-end	Russian Federation	Go	Elasticsearch	Ansible	React Native		
Developer, back-end	France	Bash/Shell/PowerShell	DynamoDB	Node.js	Pandas	TensorFlow	
Academic researcher	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	India	C#	MongoDB	Cordova	.NET	.NET Core	Node.js
Developer, back-end	India	Java	PostgreSQL	Ansible	Other(s):		
Developer, full-stack	Canada	Ruby	Microsoft SQL Server	Chef	Node.js	Pandas	
Developer, back-end	India	Bash/Shell/PowerShell	MySQL	Node.js			
Data or business analyst	Italy	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	.NET	Pandas	
Developer, back-end	Poland	Go	DynamoDB	TensorFlow			
Data scientist or machine learning specialist	France	C		Pandas			
Developer, back-end	Australia	Assembly	MongoDB	.NET	.NET Core	Node.js	
Developer, back-end	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	Germany	Bash/Shell/PowerShell	MariaDB	Node.js			
Database administrator	Ukraine	C#	Microsoft SQL Server	Ansible	.NET Core	Node.js	Other(s):
Database administrator	United States	C#	Microsoft SQL Server	.NET			
Developer, back-end	Germany	C	MySQL	Node.js			
Developer, full-stack	India	Bash/Shell/PowerShell	Elasticsearch	Node.js	Pandas	Torch/PyTorch	
Database administrator	United States	HTML/CSS	DynamoDB	.NET Core			
Developer, back-end	Netherlands	Dart	Elasticsearch	Flutter			
Developer, full-stack	United Kingdom	C#	MariaDB	.NET	.NET Core	Node.js	
Database administrator	Ukraine	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Developer, full-stack	Brazil	C#	MongoDB	.NET	Xamarin		
Developer, front-end	United Kingdom	HTML/CSS	Firebase	Node.js	React Native		
Data or business analyst	United Kingdom	HTML/CSS	MySQL	Pandas	TensorFlow		
Developer, back-end	United States	Java	Cassandra	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core		
Designer	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Netherlands	C	Elasticsearch	Ansible			
Developer, full-stack	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Database administrator	United States	C	Microsoft SQL Server	Hadoop	.NET	.NET Core	Node.js
Data or business analyst	Canada	HTML/CSS	MariaDB	.NET	Node.js	React Native	Unity 3D
Database administrator	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, front-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	React Native
Developer, full-stack	Netherlands	JavaScript	MySQL	Node.js			
Developer, full-stack	France	Bash/Shell/PowerShell	DynamoDB	Unity 3D			
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Chef	Hadoop	Pandas	
Academic researcher	Ukraine	Assembly		Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MySQL	Ansible			
Database administrator	Turkey	Bash/Shell/PowerShell	Cassandra	Node.js			
Developer, back-end	United States	C#	Other(s):	Chef	.NET	.NET Core	
Database administrator	United States	Bash/Shell/PowerShell	Elasticsearch	Ansible	Chef	.NET	.NET Core
Developer, full-stack	Russian Federation	C#	DynamoDB	Cordova	.NET	.NET Core	
Developer, full-stack	Brazil	HTML/CSS	Microsoft SQL Server	Apache Spark			
Academic researcher	India	Bash/Shell/PowerShell	MongoDB	Pandas	TensorFlow		
Developer, full-stack	United States	C#	MariaDB	.NET	.NET Core	Node.js	Xamarin
Developer, full-stack	United States	C#	Elasticsearch	.NET	Node.js		
Database administrator	Australia	HTML/CSS	Firebase	.NET			
Developer, full-stack	China	C		Other(s):			
Data scientist or machine learning specialist	Brazil	Java	DynamoDB	Cordova			
Academic researcher	Canada	C	Firebase	Node.js	React Native	TensorFlow	Torch/PyTorch
Academic researcher	Spain	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Canada	C++	Firebase	Node.js	Unity 3D		
Developer, back-end	Poland	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js	TensorFlow	
Developer, back-end	Brazil	Bash/Shell/PowerShell	Firebase	Node.js	React Native		
Developer, back-end	Germany	C#	MariaDB	Ansible	.NET Core	TensorFlow	
Developer, back-end	India	C	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET Core	Node.js		
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	SQLite	Pandas			
Database administrator	Germany	C	MongoDB	Node.js			
Database administrator	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Developer, back-end	United States	HTML/CSS	MySQL	Node.js			
Developer, back-end	Sweden	C#	Elasticsearch	.NET	.NET Core	Node.js	
Developer, back-end	Italy	Bash/Shell/PowerShell	SQLite	Node.js			
Developer, back-end	United States	C#	Microsoft SQL Server	Apache Spark	Hadoop	Node.js	
Data scientist or machine learning specialist	France	Python	PostgreSQL	Pandas			
Developer, back-end	Russian Federation	HTML/CSS	Microsoft SQL Server	Node.js			
Developer, full-stack	France	C#	MariaDB	.NET	Node.js		
Data or business analyst	Spain	Bash/Shell/PowerShell	Other(s):	Hadoop			
Developer, back-end	United States	C++	PostgreSQL	Other(s):			
Database administrator	United States	C++	DynamoDB	.NET			
Data or business analyst	Germany	Bash/Shell/PowerShell	DynamoDB	Ansible	Node.js		
Data or business analyst	Greece	C++	MariaDB	Apache Spark	Hadoop	.NET Core	
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	Unity 3D			
Developer, full-stack	India	Bash/Shell/PowerShell	Couchbase	Chef	Cordova	Node.js	React Native
Developer, back-end	India	C	Cassandra	Hadoop			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Cordova	.NET	.NET Core	Node.js
Data or business analyst	Australia	Bash/Shell/PowerShell	Firebase	Node.js			
Database administrator	Canada	Bash/Shell/PowerShell	Couchbase	Pandas			
Developer, front-end	United States	HTML/CSS	MySQL	Node.js			
Developer, full-stack	United States	HTML/CSS	MySQL	Node.js			
Developer, back-end	Pakistan	Bash/Shell/PowerShell	Firebase	.NET	.NET Core		
Developer, back-end	United States	Bash/Shell/PowerShell	SQLite	Node.js			
Data or business analyst	United States	R	MariaDB	Other(s):			
Developer, back-end	India	HTML/CSS	Firebase	Cordova			
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	DynamoDB	CryEngine	.NET	.NET Core	Unity 3D
Database administrator	Turkey	Bash/Shell/PowerShell	Firebase	Cordova	.NET	.NET Core	Node.js
Developer, full-stack	France	HTML/CSS	Couchbase	Cordova	Node.js		
Developer, back-end	United States	C	Couchbase	Cordova	.NET	.NET Core	Node.js
Developer, full-stack	United States	HTML/CSS	PostgreSQL	Node.js	React Native		
Developer, full-stack	Netherlands	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	.NET	Node.js		
Database administrator	Brazil	Bash/Shell/PowerShell	PostgreSQL	Ansible	Node.js	Pandas	
Developer, full-stack	United States	Assembly	Cassandra	Flutter	React Native		
Developer, back-end	Italy	C#	MariaDB	Flutter			
Data or business analyst	United States	C++	Microsoft SQL Server	.NET			
Developer, full-stack	India	C#	Cassandra	Apache Spark	Hadoop		
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible			
Data or business analyst	United States	C#	Microsoft SQL Server	.NET			
Academic researcher	Pakistan	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Go	DynamoDB	Pandas	TensorFlow	Torch/PyTorch	
Developer, front-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Academic researcher	Russian Federation	C		Apache Spark	TensorFlow		
Academic researcher	Turkey	Python		Pandas	TensorFlow		
Developer, back-end	United States	C#	Elasticsearch	.NET	.NET Core	Node.js	
Developer, front-end	Canada	C++	Firebase	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Couchbase	Ansible	.NET	.NET Core	Node.js
Developer, back-end	Sweden	C	Microsoft SQL Server	Cordova	.NET	.NET Core	Node.js
Developer, back-end	India	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	United Kingdom	Go	Elasticsearch	Ansible	Node.js		
Developer, full-stack	United Kingdom	C#	MongoDB	.NET			
Developer, full-stack	United States	HTML/CSS	MariaDB	Node.js			
Academic researcher	Germany	Bash/Shell/PowerShell	Elasticsearch	Pandas	TensorFlow	Torch/PyTorch	
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Developer, back-end	Australia	Bash/Shell/PowerShell	Other(s):	.NET Core			
Developer, back-end	United Kingdom	C++		.NET			
Designer	United States	Assembly	Elasticsearch	Node.js			
Developer, full-stack	Canada	Bash/Shell/PowerShell	MongoDB	Node.js			
Data or business analyst	Germany	Bash/Shell/PowerShell	Elasticsearch	Pandas			
Developer, back-end	Turkey	C	DynamoDB	Apache Spark	Flutter	.NET	.NET Core
Data scientist or machine learning specialist	United Kingdom	Python		Pandas	TensorFlow	Torch/PyTorch	
Database administrator	United States	Bash/Shell/PowerShell	Elasticsearch	Chef			
Developer, back-end	United Kingdom	HTML/CSS	MySQL	Node.js			
Designer	Netherlands	C++	MySQL	.NET	.NET Core	Node.js	Unity 3D
Developer, back-end	India	C	Firebase	Node.js			
Database administrator	Poland	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js	Unity 3D	
Designer	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Database administrator	Germany	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	India	Assembly		.NET			
Database administrator	Poland	HTML/CSS	MariaDB	Node.js			
Designer	Turkey	C#	MySQL	Unity 3D			
Designer	United States	HTML/CSS	Redis	Node.js	React Native		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Couchbase	.NET	.NET Core	Node.js	
Developer, back-end	Germany	C#		.NET			
Developer, full-stack	United States	C#	DynamoDB	.NET	.NET Core		
Designer	Poland	Java	Oracle	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	DynamoDB	Other(s):			
Database administrator	United Kingdom	C#	Microsoft SQL Server	.NET			
Database administrator	India	C	MariaDB	Cordova	Flutter	.NET	Node.js
Academic researcher	United States	Bash/Shell/PowerShell		Apache Spark	Hadoop	Pandas	Unity 3D
Developer, back-end	Spain	Go	PostgreSQL	Ansible			
Academic researcher	Poland	C++	MariaDB	.NET	.NET Core		
Developer, back-end	United States	HTML/CSS	MongoDB	Node.js	React Native		
Developer, back-end	Germany	Assembly	Oracle	Pandas			
Data or business analyst	Australia	C++	MongoDB	.NET	.NET Core	Node.js	React Native
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Developer, back-end	United Kingdom	C#	Microsoft SQL Server	.NET			
Developer, back-end	Italy	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	China	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Couchbase	Node.js	React Native		
Data scientist or machine learning specialist	India	HTML/CSS	MongoDB	Pandas	TensorFlow		
Database administrator	United States	Assembly	Microsoft SQL Server	.NET	.NET Core	Unity 3D	Unreal Engine
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	.NET		
Developer, back-end	Australia	C#	MariaDB	.NET	.NET Core		
Developer, full-stack	India	C#	Elasticsearch	.NET	.NET Core		
Developer, full-stack	United States	Bash/Shell/PowerShell	MariaDB	Ansible	Node.js		
Developer, full-stack	India	C#	Microsoft SQL Server	.NET	Pandas		
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Ansible			
Data or business analyst	Sweden	Assembly	Redis	Node.js	TensorFlow		
Developer, back-end	Germany	HTML/CSS	MongoDB	Node.js			
Academic researcher	China	C	MySQL	Hadoop	.NET		
Data or business analyst	United States	HTML/CSS	MySQL	Pandas			
Developer, back-end	Germany	Go	MongoDB	Node.js			
Designer	China	C++	MariaDB	.NET	.NET Core	Node.js	TensorFlow
Developer, back-end	Germany	HTML/CSS	MongoDB	Node.js			
Developer, back-end	Netherlands	Bash/Shell/PowerShell	Cassandra	Other(s):			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core		
Academic researcher	Ukraine	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	United Kingdom	C#	Elasticsearch	.NET	.NET Core	Node.js	
Developer, back-end	Brazil	C#	Microsoft SQL Server	.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Germany	Bash/Shell/PowerShell	Elasticsearch	Ansible			
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Designer	Pakistan			Other(s):			
Data scientist or machine learning specialist	United States	C#	Firebase	Cordova	.NET	.NET Core	Node.js
Database administrator	United States	C++	MongoDB	Node.js			
Data or business analyst	Germany	Bash/Shell/PowerShell	MySQL	.NET	Pandas		
Designer	United States	HTML/CSS	MongoDB	Node.js			
Designer	Germany	C#	Couchbase	Cordova	.NET	.NET Core	Node.js
Developer, front-end	United Kingdom	C++	MongoDB	Unity 3D	Unreal Engine		
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Node.js	Unreal Engine	Other(s):	
Designer	Italy	C		Node.js			
Developer, back-end	Poland	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core		
Developer, back-end	United States	Assembly	Elasticsearch	Node.js			
Developer, back-end	China	C#	MongoDB	Node.js	React Native		
Developer, back-end	United Kingdom	C++	Microsoft SQL Server	Node.js			
Developer, full-stack	Canada	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Academic researcher	United States	Bash/Shell/PowerShell	Elasticsearch	Pandas	TensorFlow		
Academic researcher	Germany	Python	MySQL	Pandas			
Data or business analyst	Germany	C#	Cassandra	.NET	.NET Core	Xamarin	
Developer, front-end	France	HTML/CSS	MySQL	Node.js			
Developer, back-end	India	C#	Microsoft SQL Server	.NET			
Developer, back-end	Germany	Go	Elasticsearch	Hadoop			
Developer, back-end	United States	Bash/Shell/PowerShell		Node.js	Other(s):		
Developer, back-end	Brazil	C	Firebase	Node.js	React Native		
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, back-end	Poland	C#	Microsoft SQL Server	.NET Core			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MongoDB	Ansible	Apache Spark	Pandas	TensorFlow
Developer, front-end	France	HTML/CSS		Node.js			
Developer, back-end	Poland	Elixir	PostgreSQL	Node.js			
Developer, back-end	India	C#	MongoDB	.NET	Pandas	TensorFlow	
Developer, back-end	Russian Federation	Bash/Shell/PowerShell	MySQL	.NET	Xamarin		
Database administrator	Pakistan	C	MongoDB	.NET	.NET Core	Node.js	
Developer, full-stack	Russian Federation	Bash/Shell/PowerShell	MariaDB	Node.js			
Designer	United States	C#	Firebase	.NET	.NET Core		
Developer, back-end	Turkey	Bash/Shell/PowerShell	MongoDB	Node.js	Unity 3D		
Data or business analyst	Canada	Bash/Shell/PowerShell	Elasticsearch	Ansible	Apache Spark	Pandas	
Developer, back-end	United Kingdom	HTML/CSS	MongoDB	Node.js			
Designer	United States	Bash/Shell/PowerShell	MySQL	Node.js			
DevOps specialist	India	Bash/Shell/PowerShell	Elasticsearch	Ansible			
